Symbole,accPrediction(1),accPrediction(30)
PCLN,0.5,0.7943661971830986
SYY,0.47619047619047616,0.7093333333333334
SRCL,0.5248041775456919,0.7650273224043715
HP,0.5292397660818714,0.7368421052631579
WEC,0.5378151260504201,0.7645429362880887
NWS,0.4827586206896552,0.7421052631578947
HBAN,0.5083798882681564,0.7095959595959596
KO,0.4269005847953216,0.6871345029239766
ES,0.5558823529411765,0.7076923076923077
PEP,0.5646437994722955,0.7513966480446927
BBY,0.425414364640884,0.6333333333333333
TWX,0.5208333333333334,0.7364130434782609
ADP,0.5060975609756098,0.7804878048780488
REG,0.5053191489361702,0.7264705882352941
GGP,0.5238095238095238,0.7295774647887324
ADS,0.5157593123209169,0.82
PKI,0.5497237569060773,0.75
AFL,0.5209424083769634,0.7553191489361702
FBHS,0.5214285714285715,0.7542662116040956
LB,0.5457142857142857,0.7094972067039106
EQIX,0.48360655737704916,0.8073394495412844
DHI,0.48711340206185566,0.6675824175824175
AAPL,0.49056603773584906,0.7967032967032966
QRVO,0.5833333333333334,0.7830188679245284
CHD,0.5077319587628866,0.75
CMA,0.4903047091412742,0.7
FTV,0.3076923076923077,0.8648648648648649
ESS,0.5257142857142857,0.7784090909090909
EFX,0.5283018867924528,0.8372093023255814
PBCT,0.44281524926686217,0.7220708446866485
LLY,0.4786096256684492,0.7982954545454546
NVDA,0.4723756906077348,0.7762803234501348
FOXA,0.48205128205128206,0.7293447293447294
AEE,0.5270655270655271,0.7213114754098361
EBAY,0.49393939393939396,0.7397660818713451
HIG,0.5916666666666667,0.696969696969697
PCAR,0.5411471321695761,0.6640211640211641
VMC,0.4871060171919771,0.7774798927613941
APA,0.504,0.6586021505376344
CLX,0.4986072423398329,0.7718832891246684
DD,0.4756756756756757,0.7597765363128491
DE,0.4985835694050991,0.7404371584699454
STX,0.5041095890410959,0.7318435754189944
COTY,0.531578947368421,0.7743362831858407
ROP,0.47883597883597884,0.7902813299232737
MU,0.5172413793103449,0.7142857142857143
AAL,0.48466257668711654,0.7090909090909091
ALK,0.392,0.6946564885496184
LUK,0.4817073170731707,0.675392670157068
MRK,0.4704370179948586,0.7282913165266106
RAI,0.5221238938053098,0.8525073746312685
AMP,0.4186046511627907,0.7037037037037037
ZTS,0.5431034482758621,0.6436170212765957
CHRW,0.47335423197492166,0.6854838709677419
EOG,0.47230320699708456,0.7395833333333334
TXT,0.5395095367847411,0.7086834733893558
ALLE,0.42592592592592593,0.7751479289940828
EXPE,0.5166666666666667,0.7792553191489362
MTB,0.5367847411444142,0.7437325905292479
FLIR,0.44662921348314605,0.6876790830945558
MHK,0.4106145251396648,0.7877984084880637
CMCSA,0.45663265306122447,0.7868020304568528
APD,0.5112359550561798,0.7085714285714285
DLTR,0.489010989010989,0.8132992327365729
SWK,0.4943181818181818,0.7376093294460642
STI,0.5161290322580645,0.6810344827586207
MO,0.48703170028818443,0.8170103092783505
JWN,0.5264623955431755,0.7394736842105263
CTAS,0.5331325301204819,0.844559585492228
VIAB,0.4973404255319149,0.7220630372492837
MA,0.4656084656084656,0.7988505747126436
CCL,0.48125,0.6618705035971223
HCA,0.5150501672240803,0.7220543806646526
ABC,0.5111731843575419,0.7896174863387978
K,0.5082417582417582,0.6991869918699187
A,0.47674418604651164,0.7193460490463215
ALXN,0.49873417721518987,0.7393767705382436
RRC,0.48883374689826303,0.6881720430107527
BDX,0.5401662049861495,0.817174515235457
PNW,0.47043010752688175,0.6580976863753213
AJG,0.5337078651685393,0.78125
WAT,0.5408450704225352,0.7528089887640449
NWL,0.5342465753424658,0.782608695652174
LYB,0.549079754601227,0.746177370030581
ETN,0.463768115942029,0.7222222222222222
DLR,0.4435483870967742,0.6616541353383458
UNM,0.4911392405063291,0.695054945054945
MMC,0.4782608695652174,0.75
PSX,0.5,0.7459677419354839
HOG,0.42424242424242425,0.8076923076923077
CFG,0.5081967213114754,0.728
FMC,0.49507389162561577,0.7007874015748031
PGR,0.4791666666666667,0.8541666666666666
LKQ,0.5108108108108108,0.703601108033241
MAS,0.5240641711229946,0.6837606837606838
XL,0.45161290322580644,0.8529411764705882
WFM,0.5486486486486486,0.7905759162303665
JNJ,0.5058139534883721,0.7423822714681441
NOC,0.4910025706940874,0.7554945054945055
CF,0.5052356020942408,0.7400990099009901
IRM,0.5591397849462365,0.822429906542056
WLTW,0.547486033519553,0.7357954545454546
PG,0.5397260273972603,0.7329700272479565
UPS,0.4853801169590643,0.7705382436260623
MNST,0.5,0.7865168539325843
GT,0.5122699386503068,0.7441860465116279
SBUX,0.4789915966386555,0.7736389684813754
EVHC,0.7,0.75
KLAC,0.4984894259818731,0.7150997150997151
TEL,0.47956403269754766,0.7543859649122807
AWK,0.4941860465116279,0.8
AMT,0.46464646464646464,0.8026315789473685
ALL,0.4856396866840731,0.7493606138107417
ADBE,0.5236768802228412,0.7838541666666666
ETFC,0.483695652173913,0.7065217391304348
FOX,0.4888888888888889,0.7478260869565218
CTXS,0.4985754985754986,0.7189189189189189
CAG,0.4725848563968668,0.7480519480519481
UTX,0.48055555555555557,0.7043010752688172
ANTM,0.4845360824742268,0.7596685082872928
DVA,0.48450704225352115,0.7127371273712737
UAA,0.48338368580060426,0.7746113989637305
ICE,0.5478723404255319,0.7028571428571428
PEG,0.3125,0.8620689655172413
CERN,0.45012787723785164,0.7777777777777778
FLS,0.48787878787878786,0.6938202247191011
ARE,0.48493975903614456,0.6704225352112676
RSG,0.5,0.7572254335260116
EXR,0.46949602122015915,0.787292817679558
XOM,0.4563380281690141,0.6640826873385013
HCN,0.5131578947368421,0.7478991596638656
PFE,0.4986449864498645,0.7493333333333333
UNP,0.5109289617486339,0.7864583333333334
BBBY,0.456,0.680379746835443
AEP,0.5327868852459017,0.6504065040650406
MUR,0.4672364672364672,0.6391184573002755
GD,0.5178082191780822,0.7545219638242894
TMO,0.5080645161290323,0.8125
CHTR,0.5,0.8823529411764706
PNR,0.5076923076923077,0.8108108108108109
BBT,0.5488126649076517,0.7083333333333334
BXP,0.52,0.7894736842105263
TDC,0.5103626943005182,0.711764705882353
CCI,0.48031496062992124,0.7522123893805309
SLG,0.49271137026239065,0.6975476839237057
NUE,0.45558739255014324,0.7072463768115942
HES,0.5251396648044693,0.6994219653179191
ESRX,0.4899713467048711,0.6994219653179191
PVH,0.47214076246334313,0.6657894736842105
GRMN,0.5283018867924528,0.649025069637883
ATVI,0.49291784702549574,0.7521865889212828
CB,0.5431034482758621,0.7994722955145118
C,0.5014749262536873,0.6888888888888889
TRIP,0.4888888888888889,0.6926070038910506
AIG,0.5142857142857142,0.7528089887640449
LVLT,0.49812734082397003,0.7622641509433963
ED,0.5112994350282486,0.7232142857142857
AYI,0.48360655737704916,0.7546666666666667
DTE,0.5013623978201635,0.7204301075268817
JNPR,0.4915254237288136,0.6867816091954023
DPS,0.5196374622356495,0.7262569832402235
HUM,0.5922330097087378,0.77
INCY,0.517426273458445,0.6997167138810199
MCK,0.4421768707482993,0.7709923664122137
AKAM,0.5,0.7583333333333333
MCO,0.4770408163265306,0.8034188034188035
PH,0.46956521739130436,0.7054054054054054
V,0.45179063360881544,0.7487562189054726
DISCK,0.5084269662921348,0.7589285714285714
MAC,0.4957983193277311,0.7595628415300546
WBA,0.43902439024390244,0.7787610619469026
TSN,0.5,0.7209302325581395
VTR,0.5178082191780822,0.6936416184971098
HSY,0.520891364902507,0.706989247311828
ORCL,0.5125348189415042,0.7150537634408602
DGX,0.5232876712328767,0.7253731343283583
GS,0.5148809523809523,0.6497175141242938
PX,0.5085227272727273,0.748730964467005
DOW,0.5070821529745042,0.6850828729281768
ULTA,0.5284090909090909,0.8036649214659686
XLNX,0.46944444444444444,0.7397260273972602
HBI,0.5398230088495575,0.7519181585677749
BCR,0.4792176039119804,0.7659574468085106
R,0.5176470588235295,0.6873156342182891
CBG,0.5096952908587258,0.7254901960784313
KHC,0.5432098765432098,0.5714285714285714
COH,0.47398843930635837,0.7535014005602241
